,이름,형태소
856,마끼아또,NNG
857,소스,NNG
858,핑크,NNG
859,솔트,NNG
860,비엔나,NNG
861,소금,NNG
862,핑크소스,NNG
863,짠맛,NNG
864,스몰사이즈,NNG
865,아메리치노,NNG
866,말,NNG
867,거픔층,NNG
868,오케이캐시백,NNG
869,롯데카드,NNG
870,SKT브로드밴드,NNG
871,브이아이피,NNG
872,더치커피,NNG
873,용품,NNG
874,열한시,NNG
875,샤케라또,NNG
876,쉐이크,NNG
877,형광커피,NNG
878,칵테일,NNG
879,쉐이커,NNG
880,여름,NNG
881,도수,NNG
882,여성,NNG
883,협회,NNG
884,업소,NNG
885,열,NNG
886,체인점,NNG
887,글씨,NNG
888,오백원,NNG
889,미리,NNG
890,육백미리,NNG
891,일년,NNG
892,신세계,NNG
893,관련,NNG
894,계열,NNG
895,전국,NNG
896,상품권,NNG
897,숏사이즈,NNG
898,톨사이즈,NNG
899,거,NNG
900,모두,NNG
901,필요,NNG
902,일반영수증,NNG
903,팔천칠백,NNG
904,바,NNG
905,바게트빵,NNG
906,이거,NNG
907,계피가루,NNG
908,밖,NNG
909,프라이팬,NNG
910,카모마일,NNG
911,달아,NNG
912,쿠키슈,NNG
913,밀크티라떼,NNG
914,베이스,NNG
915,햄,NNG
916,크로와상,NNG
917,사천오백,NNG
918,구천오백,NNG
919,셀프바,NNG
920,유상,NNG
921,돈,NNG
922,나중,NNG
923,천오백,NNG
924,해피머니,NNG
925,요기요,NNG
926,선물,NNG
927,천이백원,NNG
928,꿀복숭아,NNG
929,니트로커피,NNG
930,질소,NNG
931,9분,NNG
932,오리지널,NNG
933,오븐,NNG
934,구워,NNG
935,천구백원,NNG
936,가루,NNG
937,믹스커피,NNG
938,종이컵,NNG
939,딸기라떼,NNG
940,원액,NNG
941,아이스티,NNG
942,사천,NNG
943,맞은,NNG
944,편,NNG
945,친구,NNG
946,모임,NNG
947,애완견,NNG
948,병,NNG
949,삼대일,NNG
950,진하다,NNG
951,오대일,NNG
952,육대일,NNG
953,로얄,NNG
954,티백,NNG
955,베리민트,NNG
956,아트라떼,NNG
957,솔티치즈,NNG
958,잠깐,NNG
959,맘스터치,NNG
960,근처,NNG
961,빈자리,NNG
962,단속,NNG
963,고구마,NNG
964,아로니아,NNG
965,젊은,NNG
966,냉동,NNG
967,제품,NNG
968,곡물,NNG
969,돌체라떼,NNG
970,연유,NNG
971,무지방,NNG
972,삼천팔백,NNG
973,뜨거워,NNG
974,산부인과,NNG
975,은색,NNG
976,가격표,NNG
977,브래드,NNG
978,직접,NNG
979,수제와플,NNG
980,토스트,NNG
981,비슷,NNG
982,상가,NNG
983,만삼천,NNG
984,핸드드립,NNG
985,손,NNG
986,더치,NNG
987,핸드드립커피,NNG
988,하우스,NNG
989,에이,NNG
990,비,NNG
991,톰과,NNG
992,제리,NNG
993,모양,NNG
994,지하주차장,NNG
995,등록,NNG
996,고로케,NNG
997,계란,NNG
998,감자,NNG
999,도너츠,NNG
1000,단팥,NNG
1001,팥빵,NNG
1002,베이커리,NNG
1003,오천구백,NNG
1004,새로,NNG
1005,핫도그,NNG
1006,육천,NNG
1007,젤라또,NNG
1008,주차공간,NNG
1009,머랭쿠키,NNG
1010,삼천오백,NNG
1011,몰디브라떼,NNG
1012,카라멜라떼,NNG
1013,드립커피,NNG
1014,일반,NNG
1015,민감,NNG
1016,제조용법,NNG
1017,고온고압,NNG
1018,드립,NNG
1019,삼천백,NNG
1020,오분,NNG
1021,이층,NNG
1022,정수물,NNG
1023,음료수,NNG
1024,허브,NNG
1025,초콜렛,NNG
1026,사천이백,NNG
1027,퍼센트,NNG
1028,오,NNG
1029,문,NNG
1030,초코음료,NNG
1031,아이스초코,NNG
1032,초코스무디,NNG
1033,오천육백,NNG
1034,해피포인트,NNG
1035,에스케이,NNG
1036,계단,NNG
1037,생자몽,NNG
1038,여러,NNG
1039,명,NNG
1040,수,NNG
1041,달게,NNG
1042,싼,NNG
1043,명함,NNG
1044,덜,NNG
1045,바닐라라떼,NNG
